#Uses stathead data

Rk,Season,Team,W,W-L%,PtDif,Tot,TotOpp,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Tot2,TO,Ply,Y/P,Tot3,TO,DPly,DY/P
1,2024,DET,15,.882,222,6962,5820,399,17,15,2,0,.882,564,342,222,399,551,152,72.4,4474,39,12,7.1,2.2,112.6,33,244,5.65,8.1,7.66,8.56,8.07,11.2,6962,15,1118,6.23,5820,24,1016,5.73
2,2024,KAN,15,.882,59,5570,5451,404,17,15,2,0,.882,385,326,59,404,600,196,67.3,3780,26,11,4.3,1.8,93.1,41,266,6.40,6.3,5.90,6.34,5.94,9.4,5570,14,1091,5.11,5451,20,1026,5.31
3,2024,MIN,14,.824,100,5898,5702,364,17,14,3,0,.824,432,332,100,364,548,184,66.4,4043,35,12,6.4,2.2,102.9,49,336,8.21,7.4,6.77,7.67,7.04,11.1,5898,21,1054,5.60,5702,33,1078,5.29
4,2024,PHI,14,.824,160,6242,4732,303,17,14,3,0,.824,463,303,160,303,448,145,67.6,3194,24,6,5.4,1.3,103.4,45,323,9.13,7.1,6.48,7.60,6.90,10.5,6242,15,1114,5.60,4732,26,999,4.74
5,2024,BUF,13,.765,157,6105,5806,329,17,13,4,0,.765,525,368,157,329,520,191,63.3,3875,30,6,5.8,1.2,100.8,14,63,2.62,7.5,7.26,8.09,7.87,11.8,6105,8,1025,5.96,5806,32,1052,5.52
6,2024,BAL,12,.706,157,7224,5511,318,17,12,5,0,.706,518,361,157,318,477,159,66.7,4035,41,4,8.6,0.8,119.4,24,154,4.79,8.5,8.05,9.80,9.33,12.7,7224,11,1055,6.85,5511,17,1062,5.19
7,2024,WAS,12,.706,94,6284,5558,365,17,12,5,0,.706,485,391,94,365,525,160,69.5,3665,29,9,5.5,1.7,102.5,50,267,8.70,7.0,6.37,7.31,6.68,10.0,6284,16,1101,5.71,5558,17,1029,5.40
8,2024,GNB,11,.647,122,6303,5347,308,17,11,6,0,.647,460,338,122,308,479,171,64.3,3807,28,11,5.8,2.3,99.8,22,132,4.39,7.9,7.60,8.08,7.73,12.4,6303,19,1027,6.14,5347,31,1036,5.16
9,2024,LAC,11,.647,101,5511,5514,336,17,11,6,0,.647,402,301,101,336,510,174,65.9,3629,23,3,4.5,0.6,101.4,44,272,7.94,7.1,6.55,7.75,7.14,10.8,5511,9,1017,5.42,5514,21,1037,5.32
10,2024,DEN,10,.588,114,5518,5391,379,17,10,7,0,.588,425,311,114,379,570,191,66.5,3610,30,12,5.3,2.1,94.1,24,198,4.04,6.3,6.08,6.44,6.18,9.5,5518,19,1055,5.23,5391,25,1093,4.93
11,2024,HOU,10,.588,0,5435,5355,357,17,10,7,0,.588,372,372,0,357,570,213,62.6,3526,20,12,3.5,2.1,86.1,54,426,8.65,6.2,5.65,5.94,5.43,9.9,5435,19,1058,5.14,5355,29,1050,5.10
12,2024,PIT,10,.588,33,5430,5554,321,17,10,7,0,.588,380,347,33,321,499,178,64.3,3264,21,6,4.2,1.2,94.8,49,343,8.94,6.5,5.96,6.84,6.23,10.2,5430,17,1081,5.02,5554,33,1034,5.37
13,2024,LAR,10,.588,-19,5633,6003,367,17,10,7,0,.588,367,386,-19,367,559,192,65.7,3868,22,9,3.9,1.6,93.7,31,228,5.25,6.9,6.56,6.98,6.62,10.5,5633,14,1040,5.42,6003,20,1057,5.68
14,2024,TAM,10,.588,117,6793,5810,408,17,10,7,0,.588,502,385,117,408,571,163,71.5,4257,41,16,7.2,2.8,106.8,40,248,6.55,7.5,6.97,7.63,7.13,10.4,6793,23,1094,6.21,5810,18,1065,5.46
