#Uses stathead data

Rk,Season,Team,W,W-L%,PtDif,Tot,TotOpp,Cmp,G,W1,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Tot2,TO,Ply,Y/P,TotOpp2,TO,DPly,DY/P
1,2007,NWE,16,1.000,315,6580,4613,403,16,16,0,0,1.000,589,274,315,403,586,183,68.8,4731,50,9,8.5,1.5,116.0,21,128,3.46,8.1,7.79,9.09,8.77,11.7,6580,15,1058,6.22,4613,31,933,4.94
2,2024,DET,15,.882,222,6962,5820,399,17,15,2,0,.882,564,342,222,399,551,152,72.4,4474,39,12,7.1,2.2,112.6,33,244,5.65,8.1,7.66,8.56,8.07,11.2,6962,15,1118,6.23,5820,24,1016,5.73
3,2024,KAN,15,.882,59,5570,5451,404,17,15,2,0,.882,385,326,59,404,600,196,67.3,3780,26,11,4.3,1.8,93.1,41,266,6.40,6.3,5.90,6.34,5.94,9.4,5570,14,1091,5.11,5451,20,1026,5.31
4,2015,CAR,15,.938,192,5871,5167,300,16,15,1,0,.938,500,308,192,300,501,201,59.9,3589,35,10,7.0,2.0,99.2,33,284,6.18,7.2,6.72,7.66,7.19,12.0,5871,19,1060,5.54,5167,39,1058,4.88
5,2011,GNB,15,.938,201,6482,6585,376,16,15,1,0,.938,560,359,201,376,552,176,68.1,4924,51,8,9.2,1.4,122.6,41,237,6.91,8.9,8.30,10.12,9.42,13.1,6482,14,988,6.56,6585,38,1049,6.28
6,2004,PIT,15,.938,121,5184,4134,228,16,15,1,0,.938,372,251,121,228,358,130,63.7,2720,20,13,5.6,3.6,93.2,36,250,9.14,7.6,6.90,7.08,6.43,11.9,5184,21,1012,5.12,4134,32,882,4.69
7,1998,MIN,15,.938,260,6264,5066,327,16,15,1,0,.938,556,296,260,327,533,206,61.4,4328,41,16,7.7,3.0,101.5,25,164,4.48,8.1,7.76,8.31,7.94,13.2,6264,20,1008,6.21,5066,34,997,5.08
8,2024,MIN,14,.824,100,5898,5702,364,17,14,3,0,.824,432,332,100,364,548,184,66.4,4043,35,12,6.4,2.2,102.9,49,336,8.21,7.4,6.77,7.67,7.04,11.1,5898,21,1054,5.60,5702,33,1078,5.29
9,2024,PHI,14,.824,160,6242,4732,303,17,14,3,0,.824,463,303,160,303,448,145,67.6,3194,24,6,5.4,1.3,103.4,45,323,9.13,7.1,6.48,7.60,6.90,10.5,6242,15,1114,5.60,4732,26,999,4.74
10,2022,KAN,14,.824,127,7032,5579,435,17,14,3,0,.824,496,369,127,435,651,216,66.8,5062,41,12,6.3,1.8,104.7,26,188,3.84,7.8,7.48,8.21,7.89,11.6,7032,23,1094,6.43,5579,20,1093,5.10
